,,Mean,Median,Mode,Std,Min,Max,1,2,3,4,5,6,7,8
4,Score 0,3.647516199,4,3,0.871029583,1,7,1,123,978,872,278,56,7,
3,Score 0,3.637580994,4,4,0.809482264,1,8,1,123,891,1050,209,34,4,3
3&4,Score 0,3.632829374,4,4,0.790304359,1,7,1,123,891,1047,217,35,1,
Cap 5,Score 0,3.643196544,4,4,0.75833179,1,6,1,123,844,1087,253,7,,
Cap 5,Score 2,3.65399568,4,4,0.713901016,2,6,,82,880,1113,237,3,,
234 Cap 5,Score 1,3.582721382,4,3,0.688977975,2,6,,67,1032,1017,198,1,,
