,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
aback,3,64,clash,3,aback,,,,,,,,,,,,
abase,3,40,shale,3,abase,,,,,,,,,,,,
abate,3,8,slate,3,abate,,,,,,,,,,,,
abbey,4,55,clean,2,askew,1,abbey,,,,,,,,,,
abbot,5,55,talon,3,afoot,2,ascot,1,abbot,,,,,,,,
abhor,3,60,carol,1,abhor,,,,,,,,,,,,
abide,3,10,alive,3,abide,,,,,,,,,,,,
abled,4,55,clean,8,bagel,1,abled,,,,,,,,,,
abode,4,42,angle,6,budos,2,abode,,,,,,,,,,
abort,3,11,stray,3,abort,,,,,,,,,,,,
about,3,55,talon,2,about,,,,,,,,,,,,
above,4,42,angle,6,budos,1,above,,,,,,,,,,
abuse,4,42,angle,6,budos,1,abuse,,,,,,,,,,
abyss,3,118,salon,2,abyss,,,,,,,,,,,,
acorn,3,60,carol,1,acorn,,,,,,,,,,,,
acrid,3,17,rabid,1,acrid,,,,,,,,,,,,
actor,4,11,stray,3,abort,1,actor,,,,,,,,,,
acute,3,10,saute,1,acute,,,,,,,,,,,,
adage,4,40,shale,9,advew,1,adage,,,,,,,,,,
adapt,3,21,slant,1,adapt,,,,,,,,,,,,
adept,3,25,cleat,2,adept,,,,,,,,,,,,
admin,3,41,anvil,1,admin,,,,,,,,,,,,
admit,3,17,taint,2,admit,,,,,,,,,,,,
adobe,5,42,angle,6,budos,2,abode,1,adobe,,,,,,,,
adopt,4,55,talon,2,about,1,adopt,,,,,,,,,,
adore,3,9,agree,2,adore,,,,,,,,,,,,
adorn,3,60,carol,3,adorn,,,,,,,,,,,,
adult,3,55,talon,2,adult,,,,,,,,,,,,
affix,4,41,anvil,3,aphid,1,affix,,,,,,,,,,
afire,2,2,afire,,,,,,,,,,,,,,
afoot,3,55,talon,3,afoot,,,,,,,,,,,,
afoul,4,118,salon,9,focal,1,afoul,,,,,,,,,,
after,3,14,later,1,after,,,,,,,,,,,,
again,3,14,slain,2,again,,,,,,,,,,,,
agape,4,40,shale,9,advew,2,agape,,,,,,,,,,
agate,4,8,slate,3,abate,1,agate,,,,,,,,,,
agent,4,25,cleat,2,adept,1,agent,,,,,,,,,,
agile,3,10,alive,1,agile,,,,,,,,,,,,
aging,4,41,anvil,3,aping,1,aging,,,,,,,,,,
aglow,3,118,salon,3,aglow,,,,,,,,,,,,
agony,4,118,salon,4,among,1,agony,,,,,,,,,,
agora,4,60,carol,3,adorn,1,agora,,,,,,,,,,
agree,2,9,agree,,,,,,,,,,,,,,
ahead,3,55,clean,2,ahead,,,,,,,,,,,,
aider,2,1,aider,,,,,,,,,,,,,,
aisle,3,10,alive,1,aisle,,,,,,,,,,,,
alarm,3,20,shard,3,alarm,,,,,,,,,,,,
album,4,118,salon,6,plumy,1,album,,,,,,,,,,
