,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
aback,5,40,clank,3,quack,2,whack,1,aback,,,,,,,,
abase,4,7,chase,3,lease,1,abase,,,,,,,,,,
abate,3,28,plate,2,abate,,,,,,,,,,,,
abbey,4,68,clean,3,matey,1,abbey,,,,,,,,,,
abbot,3,44,aloft,1,abbot,,,,,,,,,,,,
abhor,3,27,manor,4,abhor,,,,,,,,,,,,
abide,3,40,maple,2,abide,,,,,,,,,,,,
abled,4,68,clean,9,bagel,1,abled,,,,,,,,,,
abode,2,8,abode,,,,,,,,,,,,,,
abort,3,6,acorn,2,abort,,,,,,,,,,,,
about,3,44,aloft,2,about,,,,,,,,,,,,
above,3,8,abode,1,above,,,,,,,,,,,,
abuse,3,15,paste,3,abuse,,,,,,,,,,,,
abyss,3,23,pasty,1,abyss,,,,,,,,,,,,
acorn,2,6,acorn,,,,,,,,,,,,,,
acrid,4,42,rainy,5,vicar,1,acrid,,,,,,,,,,
actor,4,27,manor,4,abhor,2,actor,,,,,,,,,,
acute,4,40,maple,2,abide,1,acute,,,,,,,,,,
adage,5,28,plate,11,knave,4,image,1,adage,,,,,,,,
adapt,3,40,clank,3,adapt,,,,,,,,,,,,
adept,3,68,clean,2,adept,,,,,,,,,,,,
admin,3,138,manly,2,admin,,,,,,,,,,,,
admit,3,138,manly,1,admit,,,,,,,,,,,,
adobe,3,8,abode,1,adobe,,,,,,,,,,,,
adopt,4,44,aloft,2,about,1,adopt,,,,,,,,,,
adore,2,1,adore,,,,,,,,,,,,,,
adorn,3,6,acorn,1,adorn,,,,,,,,,,,,
adult,3,138,manly,2,adult,,,,,,,,,,,,
affix,4,138,manly,6,audit,1,affix,,,,,,,,,,
afire,2,2,afire,,,,,,,,,,,,,,
afoot,3,44,aloft,1,afoot,,,,,,,,,,,,
afoul,3,44,aloft,1,afoul,,,,,,,,,,,,
after,3,61,later,1,after,,,,,,,,,,,,
again,3,40,clank,1,again,,,,,,,,,,,,
agape,3,28,plate,1,agape,,,,,,,,,,,,
agate,4,28,plate,2,abate,1,agate,,,,,,,,,,
agent,4,68,clean,4,amend,1,agent,,,,,,,,,,
agile,4,40,maple,3,angle,1,agile,,,,,,,,,,
aging,4,138,manly,6,aping,1,aging,,,,,,,,,,
aglow,3,44,aloft,1,aglow,,,,,,,,,,,,
agony,3,44,aloft,3,agony,,,,,,,,,,,,
agora,4,6,acorn,2,abort,1,agora,,,,,,,,,,
agree,3,7,barge,1,agree,,,,,,,,,,,,
ahead,4,68,clean,3,wheat,1,ahead,,,,,,,,,,
aider,3,61,later,3,aider,,,,,,,,,,,,
aisle,3,15,paste,1,aisle,,,,,,,,,,,,
alarm,4,13,chard,5,quart,1,alarm,,,,,,,,,,
album,3,138,manly,1,album,,,,,,,,,,,,
alert,2,5,alert,,,,,,,,,,,,,,
algae,4,40,maple,3,alike,1,algae,,,,,,,,,,
alibi,4,138,manly,10,tidal,1,alibi,,,,,,,,,,
alien,3,68,clean,1,alien,,,,,,,,,,,,
align,3,138,manly,2,align,,,,,,,,,,,,
alike,3,40,maple,3,alike,,,,,,,,,,,,
alive,4,40,maple,3,alike,1,alive,,,,,,,,,,
allay,3,138,manly,1,allay,,,,,,,,,,,,
alley,3,68,clean,1,alley,,,,,,,,,,,,
allot,3,44,aloft,1,allot,,,,,,,,,,,,
allow,3,44,aloft,2,allow,,,,,,,,,,,,
alloy,4,44,aloft,2,allow,1,alloy,,,,,,,,,,
aloft,2,44,aloft,,,,,,,,,,,,,,
alone,3,8,abode,3,alone,,,,,,,,,,,,
along,3,44,aloft,2,along,,,,,,,,,,,,
aloof,3,44,aloft,1,aloof,,,,,,,,,,,,
aloud,4,44,aloft,2,along,1,aloud,,,,,,,,,,
alpha,4,138,manly,10,tidal,1,alpha,,,,,,,,,,
altar,4,42,rainy,3,mural,1,altar,,,,,,,,,,
alter,3,61,later,1,alter,,,,,,,,,,,,
amass,4,14,clash,2,quasi,1,amass,,,,,,,,,,
amaze,5,28,plate,11,knave,4,image,1,amaze,,,,,,,,
amber,4,61,later,3,aider,2,amber,,,,,,,,,,
amble,3,40,maple,1,amble,,,,,,,,,,,,
amend,3,68,clean,4,amend,,,,,,,,,,,,
amiss,3,23,pasty,2,amiss,,,,,,,,,,,,
amity,3,138,manly,1,amity,,,,,,,,,,,,
among,4,44,aloft,3,agony,1,among,,,,,,,,,,
ample,3,40,maple,1,ample,,,,,,,,,,,,
amply,3,138,manly,1,amply,,,,,,,,,,,,
amuse,4,15,paste,3,abuse,1,amuse,,,,,,,,,,
angel,4,68,clean,3,navel,1,angel,,,,,,,,,,
anger,5,61,later,3,aider,2,amber,1,anger,,,,,,,,
angle,3,40,maple,3,angle,,,,,,,,,,,,
angry,3,11,hairy,1,angry,,,,,,,,,,,,
angst,3,23,pasty,1,angst,,,,,,,,,,,,
anime,3,40,maple,1,anime,,,,,,,,,,,,
ankle,4,40,maple,3,angle,1,ankle,,,,,,,,,,
annex,3,68,clean,2,annex,,,,,,,,,,,,
annoy,4,44,aloft,4,axion,1,annoy,,,,,,,,,,
annul,4,138,manly,2,final,1,annul,,,,,,,,,,
anode,3,8,abode,1,anode,,,,,,,,,,,,
antic,4,138,manly,6,aping,1,antic,,,,,,,,,,
anvil,4,138,manly,2,align,1,anvil,,,,,,,,,,
aorta,3,8,moral,1,aorta,,,,,,,,,,,,
apart,4,13,chard,5,quart,1,apart,,,,,,,,,,
aphid,4,138,manly,6,audit,1,aphid,,,,,,,,,,
aping,3,138,manly,6,aping,,,,,,,,,,,,
apnea,4,68,clean,2,annex,1,apnea,,,,,,,,,,
apple,3,40,maple,1,apple,,,,,,,,,,,,
apply,4,138,manly,2,aptly,1,apply,,,,,,,,,,
apron,3,27,manor,1,apron,,,,,,,,,,,,
aptly,3,138,manly,2,aptly,,,,,,,,,,,,
arbor,4,27,manor,4,abhor,1,arbor,,,,,,,,,,
ardor,5,27,manor,4,abhor,2,actor,1,ardor,,,,,,,,
arena,4,61,later,12,break,1,arena,,,,,,,,,,
argue,3,7,barge,1,argue,,,,,,,,,,,,
arise,3,3,raise,1,arise,,,,,,,,,,,,
armor,3,27,manor,1,armor,,,,,,,,,,,,
aroma,3,27,manor,1,aroma,,,,,,,,,,,,
arose,2,1,arose,,,,,,,,,,,,,,
array,3,42,rainy,1,array,,,,,,,,,,,,
