,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
arrow,3,27,manor,1,arrow,,,,,,,,,,,,
arson,2,1,arson,,,,,,,,,,,,,,
artsy,3,4,marsh,1,artsy,,,,,,,,,,,,
ascot,3,3,mason,1,ascot,,,,,,,,,,,,
ashen,3,5,asset,2,ashen,,,,,,,,,,,,
aside,4,15,paste,3,abuse,1,aside,,,,,,,,,,
askew,4,5,asset,2,ashen,1,askew,,,,,,,,,,
assay,3,23,pasty,1,assay,,,,,,,,,,,,
asset,2,5,asset,,,,,,,,,,,,,,
atoll,3,44,aloft,1,atoll,,,,,,,,,,,,
atone,4,8,abode,3,alone,1,atone,,,,,,,,,,
attic,4,138,manly,6,audit,1,attic,,,,,,,,,,
audio,4,44,aloft,4,axion,1,audio,,,,,,,,,,
audit,3,138,manly,6,audit,,,,,,,,,,,,
augur,4,42,rainy,3,mural,1,augur,,,,,,,,,,
aunty,3,138,manly,1,aunty,,,,,,,,,,,,
avail,4,40,clank,3,quail,1,avail,,,,,,,,,,
avert,3,5,alert,1,avert,,,,,,,,,,,,
avian,4,138,manly,6,aping,1,avian,,,,,,,,,,
avoid,4,44,aloft,3,agony,1,avoid,,,,,,,,,,
await,4,40,clank,3,adapt,1,await,,,,,,,,,,
awake,5,28,plate,11,knave,2,quake,1,awake,,,,,,,,
award,4,13,chard,2,guard,1,award,,,,,,,,,,
aware,3,4,blare,1,aware,,,,,,,,,,,,
awash,5,14,clash,3,gnash,2,quash,1,awash,,,,,,,,
awful,4,138,manly,10,tidal,1,awful,,,,,,,,,,
awoke,4,8,abode,3,alone,1,awoke,,,,,,,,,,
axial,4,138,manly,10,tidal,1,axial,,,,,,,,,,
axiom,4,44,aloft,4,axion,1,axiom,,,,,,,,,,
axion,3,44,aloft,4,axion,,,,,,,,,,,,
azure,3,2,afire,1,azure,,,,,,,,,,,,
bacon,3,44,aloft,10,bacon,,,,,,,,,,,,
badge,4,40,maple,11,gauge,1,badge,,,,,,,,,,
badly,4,138,manly,6,daily,1,badly,,,,,,,,,,
bagel,3,68,clean,9,bagel,,,,,,,,,,,,
baggy,5,138,manly,19,batty,2,bawdy,1,baggy,,,,,,,,
baker,5,61,later,15,wager,8,caper,3,baker,,,,,,,,
baler,3,61,later,2,baler,,,,,,,,,,,,
balmy,3,138,manly,1,balmy,,,,,,,,,,,,
banal,3,138,manly,2,banal,,,,,,,,,,,,
banjo,4,44,aloft,10,bacon,1,banjo,,,,,,,,,,
barge,2,7,barge,,,,,,,,,,,,,,
baron,3,27,manor,2,baron,,,,,,,,,,,,
basal,4,23,pasty,6,basil,1,basal,,,,,,,,,,
basic,4,23,pasty,6,basil,3,basic,,,,,,,,,,
basil,3,23,pasty,6,basil,,,,,,,,,,,,
basin,5,23,pasty,6,basil,3,basic,2,basin,,,,,,,,
basis,6,23,pasty,6,basil,3,basic,2,basin,1,basis,,,,,,
baste,3,15,paste,5,baste,,,,,,,,,,,,
batch,4,138,manly,12,patch,4,batch,,,,,,,,,,
bathe,5,40,maple,11,gauge,5,naive,2,bathe,,,,,,,,
baton,3,44,aloft,4,baton,,,,,,,,,,,,
batty,3,138,manly,19,batty,,,,,,,,,,,,
bawdy,4,138,manly,19,batty,2,bawdy,,,,,,,,,,
bayou,4,44,aloft,10,bacon,1,bayou,,,,,,,,,,
beach,3,21,leach,3,beach,,,,,,,,,,,,
beady,4,21,leach,3,meaty,1,beady,,,,,,,,,,
beard,3,9,heard,1,beard,,,,,,,,,,,,
beast,3,5,least,3,beast,,,,,,,,,,,,
beech,4,120,inlet,6,beefy,1,beech,,,,,,,,,,
beefy,3,120,inlet,6,beefy,,,,,,,,,,,,
befit,4,120,inlet,5,edict,1,befit,,,,,,,,,,
began,3,68,clean,2,began,,,,,,,,,,,,
begat,3,68,clean,2,begat,,,,,,,,,,,,
beget,4,120,inlet,3,duvet,2,beget,,,,,,,,,,
begin,4,120,inlet,9,being,1,begin,,,,,,,,,,
begun,4,120,inlet,5,bench,1,begun,,,,,,,,,,
being,3,120,inlet,9,being,,,,,,,,,,,,
belch,3,120,inlet,4,belch,,,,,,,,,,,,
belie,4,79,guile,3,tilde,1,belie,,,,,,,,,,
belle,4,79,guile,2,cycle,1,belle,,,,,,,,,,
belly,4,120,inlet,4,belch,1,belly,,,,,,,,,,
below,3,25,melon,1,below,,,,,,,,,,,,
bench,3,120,inlet,5,bench,,,,,,,,,,,,
beret,4,117,cider,11,greet,1,beret,,,,,,,,,,
berry,3,14,leery,5,berry,,,,,,,,,,,,
berth,4,117,cider,7,perky,2,berth,,,,,,,,,,
beset,4,19,guest,2,islet,1,beset,,,,,,,,,,
betel,3,120,inlet,1,betel,,,,,,,,,,,,
bevel,3,120,inlet,10,bevel,,,,,,,,,,,,
bezel,4,120,inlet,10,bevel,1,bezel,,,,,,,,,,
bible,3,79,guile,2,bible,,,,,,,,,,,,
bicep,3,120,inlet,3,bicep,,,,,,,,,,,,
biddy,4,183,juicy,28,dimly,3,biddy,,,,,,,,,,
bigot,3,56,blond,2,bigot,,,,,,,,,,,,
bilge,3,79,guile,2,bilge,,,,,,,,,,,,
billy,4,183,juicy,28,dimly,4,billy,,,,,,,,,,
binge,3,79,guile,3,binge,,,,,,,,,,,,
bingo,3,56,blond,1,bingo,,,,,,,,,,,,
biome,3,20,clone,4,biome,,,,,,,,,,,,
birch,3,57,briny,2,birch,,,,,,,,,,,,
birth,4,57,briny,2,birch,1,birth,,,,,,,,,,
bison,3,7,gloss,2,bison,,,,,,,,,,,,
bitty,5,183,juicy,28,dimly,11,pithy,3,bitty,,,,,,,,
black,3,40,clank,2,black,,,,,,,,,,,,
blade,3,28,plate,7,blade,,,,,,,,,,,,
blame,4,28,plate,7,blade,2,blame,,,,,,,,,,
bland,3,40,clank,3,bland,,,,,,,,,,,,
blank,3,40,clank,3,blank,,,,,,,,,,,,
blare,2,4,blare,,,,,,,,,,,,,,
blast,3,14,clash,3,blast,,,,,,,,,,,,
blaze,5,28,plate,7,blade,2,blame,1,blaze,,,,,,,,
bleak,4,68,clean,5,bleat,1,bleak,,,,,,,,,,
bleat,3,68,clean,5,bleat,,,,,,,,,,,,
bleed,4,120,inlet,10,bevel,2,bleed,,,,,,,,,,
bleep,5,120,inlet,10,bevel,2,bleed,1,bleep,,,,,,,,
blend,3,120,inlet,2,blend,,,,,,,,,,,,
bless,4,19,guest,3,flesh,1,bless,,,,,,,,,,
blimp,4,183,juicy,12,flint,1,blimp,,,,,,,,,,
blind,4,183,juicy,12,flint,2,blind,,,,,,,,,,
blink,5,183,juicy,12,flint,2,blind,1,blink,,,,,,,,
bliss,3,33,mushy,2,bliss,,,,,,,,,,,,
blitz,4,183,juicy,12,flint,1,blitz,,,,,,,,,,
bloat,3,44,aloft,2,bloat,,,,,,,,,,,,
block,3,56,blond,2,block,,,,,,,,,,,,
bloke,4,20,clone,4,globe,1,bloke,,,,,,,,,,
blond,2,56,blond,,,,,,,,,,,,,,
blood,3,56,blond,1,blood,,,,,,,,,,,,
bloom,4,56,blond,2,block,1,bloom,,,,,,,,,,
blown,3,56,blond,1,blown,,,,,,,,,,,,
bluer,4,117,cider,23,tuber,1,bluer,,,,,,,,,,
bluff,5,183,juicy,10,plumb,2,blunt,1,bluff,,,,,,,,
blunt,4,183,juicy,10,plumb,2,blunt,,,,,,,,,,
blurb,4,13,whirl,2,blurt,1,blurb,,,,,,,,,,
blurt,3,13,whirl,2,blurt,,,,,,,,,,,,
blush,3,33,mushy,3,blush,,,,,,,,,,,,
board,2,2,board,,,,,,,,,,,,,,
boast,2,3,boast,,,,,,,,,,,,,,
bobby,5,87,pouty,27,godly,6,boozy,1,bobby,,,,,,,,
boney,4,26,novel,7,money,2,boney,,,,,,,,,,
bongo,4,87,pouty,12,conic,1,bongo,,,,,,,,,,
bonus,4,15,moist,3,focus,1,bonus,,,,,,,,,,
booby,5,87,pouty,27,godly,6,boozy,1,booby,,,,,,,,
boost,4,15,moist,2,joust,1,boost,,,,,,,,,,
booth,4,87,pouty,4,month,2,booth,,,,,,,,,,
booty,4,87,pouty,2,lofty,1,booty,,,,,,,,,,
booze,3,10,boule,1,booze,,,,,,,,,,,,
boozy,4,87,pouty,27,godly,6,boozy,,,,,,,,,,
borax,3,8,moral,2,borax,,,,,,,,,,,,
borne,3,9,forge,2,borne,,,,,,,,,,,,
bosom,3,15,moist,1,bosom,,,,,,,,,,,,
bossy,4,15,moist,2,lousy,1,bossy,,,,,,,,,,
botch,4,87,pouty,8,tonic,1,botch,,,,,,,,,,
bough,5,87,pouty,12,hound,4,cough,1,bough,,,,,,,,
boule,2,10,boule,,,,,,,,,,,,,,
bound,4,87,pouty,12,hound,4,bound,,,,,,,,,,
bowel,4,26,novel,6,towel,2,bowel,,,,,,,,,,
boxer,6,22,cower,12,hover,6,joker,4,goner,2,boxer,,,,,,
brace,3,19,grace,2,brace,,,,,,,,,,,,
braid,4,40,train,3,frail,1,braid,,,,,,,,,,
brain,3,40,train,3,brain,,,,,,,,,,,,
brake,4,19,grace,7,drake,1,brake,,,,,,,,,,
brand,4,40,train,6,drank,2,brand,,,,,,,,,,
brash,2,7,brash,,,,,,,,,,,,,,
brass,3,7,brash,1,brass,,,,,,,,,,,,
brave,4,19,grace,7,drake,3,brave,,,,,,,,,,
bravo,2,1,bravo,,,,,,,,,,,,,,
brawl,4,40,train,11,crawl,2,brawl,,,,,,,,,,
brawn,3,40,train,3,brawn,,,,,,,,,,,,
bread,4,61,later,12,break,1,bread,,,,,,,,,,
break,3,61,later,12,break,,,,,,,,,,,,
breed,3,117,cider,3,breed,,,,,,,,,,,,
briar,4,42,rainy,4,triad,2,briar,,,,,,,,,,
bribe,5,39,price,9,brine,2,bride,1,bribe,,,,,,,,
brick,3,57,briny,1,brick,,,,,,,,,,,,
bride,4,39,price,9,brine,2,bride,,,,,,,,,,
brief,3,117,cider,2,brief,,,,,,,,,,,,
brine,3,39,price,9,brine,,,,,,,,,,,,
bring,3,57,briny,2,bring,,,,,,,,,,,,
brink,4,57,briny,2,bring,1,brink,,,,,,,,,,
briny,2,57,briny,,,,,,,,,,,,,,
brisk,3,16,crust,3,brisk,,,,,,,,,,,,
broad,3,27,manor,2,broad,,,,,,,,,,,,
broil,4,59,troop,16,crown,2,broil,,,,,,,,,,
broke,4,14,prove,6,drone,3,broke,,,,,,,,,,
brood,4,59,troop,6,brook,2,brood,,,,,,,,,,
brook,3,59,troop,6,brook,,,,,,,,,,,,
broom,5,59,troop,6,brook,2,brood,1,broom,,,,,,,,
broth,4,59,troop,5,froth,1,broth,,,,,,,,,,
brown,4,59,troop,16,crown,4,brown,,,,,,,,,,
brunt,3,57,briny,1,brunt,,,,,,,,,,,,
brush,3,16,crust,1,brush,,,,,,,,,,,,
brute,3,39,price,1,brute,,,,,,,,,,,,
buddy,4,183,juicy,25,dumpy,1,buddy,,,,,,,,,,
budge,4,79,guile,5,fudge,3,budge,,,,,,,,,,
buggy,6,183,juicy,25,dumpy,11,funky,3,bully,1,buggy,,,,,,
bugle,3,79,guile,1,bugle,,,,,,,,,,,,
build,4,183,juicy,6,built,1,build,,,,,,,,,,
built,3,183,juicy,6,built,,,,,,,,,,,,
bulge,3,79,guile,2,bulge,,,,,,,,,,,,
bulky,5,183,juicy,25,dumpy,11,funky,1,bulky,,,,,,,,
bully,5,183,juicy,25,dumpy,11,funky,3,bully,,,,,,,,
bunch,3,183,juicy,10,bunch,,,,,,,,,,,,
bunny,5,183,juicy,25,dumpy,11,funky,1,bunny,,,,,,,,
burly,3,57,briny,1,burly,,,,,,,,,,,,
burnt,3,57,briny,1,burnt,,,,,,,,,,,,
burst,3,16,crust,1,burst,,,,,,,,,,,,
bused,3,19,guest,1,bused,,,,,,,,,,,,
bushy,3,33,mushy,2,bushy,,,,,,,,,,,,
butch,4,183,juicy,10,bunch,1,butch,,,,,,,,,,
butte,4,79,guile,3,dunce,2,butte,,,,,,,,,,
buxom,4,56,blond,2,bigot,1,buxom,,,,,,,,,,
buyer,4,117,cider,23,tuber,1,buyer,,,,,,,,,,
bylaw,3,138,manly,1,bylaw,,,,,,,,,,,,
cabal,4,138,manly,8,cavil,1,cabal,,,,,,,,,,
cabby,4,138,manly,19,batty,1,cabby,,,,,,,,,,
cabin,4,138,manly,12,gaunt,1,cabin,,,,,,,,,,
cable,3,40,maple,5,cable,,,,,,,,,,,,
cacao,5,44,aloft,10,bacon,2,macho,1,cacao,,,,,,,,
cache,6,40,maple,11,gauge,5,naive,2,bathe,1,cache,,,,,,
cacti,4,138,manly,12,patch,2,cacti,,,,,,,,,,
caddy,4,138,manly,19,batty,8,caddy,,,,,,,,,,
cadet,3,68,clean,2,cadet,,,,,,,,,,,,
cagey,4,68,clean,2,cadet,1,cagey,,,,,,,,,,
cairn,3,11,hairy,1,cairn,,,,,,,,,,,,
camel,3,68,clean,1,camel,,,,,,,,,,,,
cameo,3,4,oaken,1,cameo,,,,,,,,,,,,
canal,4,138,manly,2,banal,1,canal,,,,,,,,,,
candy,3,138,manly,8,candy,,,,,,,,,,,,
canny,4,138,manly,8,candy,1,canny,,,,,,,,,,
canoe,3,8,abode,1,canoe,,,,,,,,,,,,
canon,4,44,aloft,10,bacon,1,canon,,,,,,,,,,
caper,4,61,later,15,wager,8,caper,,,,,,,,,,
caput,4,138,manly,12,patch,1,caput,,,,,,,,,,
carat,4,42,rainy,5,karma,1,carat,,,,,,,,,,
cargo,4,27,manor,3,radio,1,cargo,,,,,,,,,,
carol,3,27,manor,2,carol,,,,,,,,,,,,
carry,3,11,hairy,3,carry,,,,,,,,,,,,
carve,3,7,barge,2,carve,,,,,,,,,,,,
caste,4,15,paste,5,baste,4,caste,,,,,,,,,,
catch,6,138,manly,12,patch,4,batch,3,watch,2,catch,,,,,,
cater,3,61,later,4,cater,,,,,,,,,,,,
catty,4,138,manly,19,batty,4,catty,,,,,,,,,,
caulk,4,138,manly,3,fault,1,caulk,,,,,,,,,,
cause,3,15,paste,2,cause,,,,,,,,,,,,
cavil,3,138,manly,8,cavil,,,,,,,,,,,,
cease,3,7,chase,1,cease,,,,,,,,,,,,
cedar,4,61,later,3,debar,1,cedar,,,,,,,,,,
cello,3,25,melon,2,cello,,,,,,,,,,,,
chafe,5,28,plate,11,knave,4,image,1,chafe,,,,,,,,
chaff,4,40,clank,2,champ,1,chaff,,,,,,,,,,
chain,3,40,clank,1,chain,,,,,,,,,,,,
chair,3,40,train,2,chair,,,,,,,,,,,,
chalk,3,40,clank,1,chalk,,,,,,,,,,,,
champ,3,40,clank,2,champ,,,,,,,,,,,,
chant,3,40,clank,1,chant,,,,,,,,,,,,
chaos,2,1,chaos,,,,,,,,,,,,,,
chard,2,13,chard,,,,,,,,,,,,,,
charm,3,13,chard,2,charm,,,,,,,,,,,,
chart,4,13,chard,2,charm,1,chart,,,,,,,,,,
chase,2,7,chase,,,,,,,,,,,,,,
chasm,3,14,clash,1,chasm,,,,,,,,,,,,
cheap,3,68,clean,2,cheap,,,,,,,,,,,,
cheat,4,68,clean,2,cheap,1,cheat,,,,,,,,,,
check,4,120,inlet,6,beefy,1,check,,,,,,,,,,
cheek,3,120,inlet,2,cheek,,,,,,,,,,,,
cheer,4,117,cider,2,cyber,1,cheer,,,,,,,,,,
chess,4,19,guest,3,flesh,1,chess,,,,,,,,,,
chest,3,19,guest,1,chest,,,,,,,,,,,,
chick,3,183,juicy,5,chick,,,,,,,,,,,,
chide,4,79,guile,7,whine,2,chide,,,,,,,,,,
chief,4,120,inlet,3,bicep,1,chief,,,,,,,,,,
child,4,183,juicy,8,cling,3,child,,,,,,,,,,
chili,5,183,juicy,8,cling,3,child,2,chili,,,,,,,,
chill,6,183,juicy,8,cling,3,child,2,chili,1,chill,,,,,,
chime,5,79,guile,7,whine,2,chide,1,chime,,,,,,,,
china,4,138,manly,6,aping,1,china,,,,,,,,,,
chirp,3,13,whirl,2,chirp,,,,,,,,,,,,
chock,4,56,blond,4,photo,1,chock,,,,,,,,,,
choir,3,59,troop,2,choir,,,,,,,,,,,,
choke,3,20,clone,1,choke,,,,,,,,,,,,
chord,2,8,chord,,,,,,,,,,,,,,
chore,2,2,chore,,,,,,,,,,,,,,
chose,2,5,chose,,,,,,,,,,,,,,
chuck,4,183,juicy,3,cluck,1,chuck,,,,,,,,,,
chump,3,183,juicy,5,chump,,,,,,,,,,,,
chunk,4,183,juicy,5,chump,1,chunk,,,,,,,,,,
churn,3,13,whirl,1,churn,,,,,,,,,,,,
chute,4,79,guile,5,deuce,1,chute,,,,,,,,,,
cider,2,117,cider,,,,,,,,,,,,,,
cigar,4,42,rainy,5,vicar,1,cigar,,,,,,,,,,
cinch,6,183,juicy,8,pinch,3,finch,2,winch,1,cinch,,,,,,
circa,4,42,rainy,5,vicar,1,circa,,,,,,,,,,
civic,3,183,juicy,3,civic,,,,,,,,,,,,
civil,4,183,juicy,3,civic,1,civil,,,,,,,,,,
clack,3,40,clank,1,clack,,,,,,,,,,,,
claim,3,40,clank,2,claim,,,,,,,,,,,,
clamp,4,40,clank,2,claim,1,clamp,,,,,,,,,,
clang,3,40,clank,1,clang,,,,,,,,,,,,
clank,2,40,clank,,,,,,,,,,,,,,
clash,2,14,clash,,,,,,,,,,,,,,
clasp,3,14,clash,2,clasp,,,,,,,,,,,,
class,4,14,clash,2,clasp,1,class,,,,,,,,,,
clean,2,68,clean,,,,,,,,,,,,,,
clear,3,61,later,1,clear,,,,,,,,,,,,
cleat,3,68,clean,1,cleat,,,,,,,,,,,,
cleft,3,120,inlet,4,cleft,,,,,,,,,,,,
clerk,3,14,leery,1,clerk,,,,,,,,,,,,
click,4,183,juicy,5,chick,1,click,,,,,,,,,,
cliff,5,183,juicy,8,cling,2,climb,1,cliff,,,,,,,,
climb,4,183,juicy,8,cling,2,climb,,,,,,,,,,
cling,3,183,juicy,8,cling,,,,,,,,,,,,
clink,4,183,juicy,8,cling,1,clink,,,,,,,,,,
cloak,3,44,aloft,1,cloak,,,,,,,,,,,,
clock,4,56,blond,6,clout,1,clock,,,,,,,,,,
clone,2,20,clone,,,,,,,,,,,,,,
close,3,5,chose,1,close,,,,,,,,,,,,
cloth,4,56,blond,6,clout,1,cloth,,,,,,,,,,
cloud,3,56,blond,2,cloud,,,,,,,,,,,,
clout,3,56,blond,6,clout,,,,,,,,,,,,
clove,3,20,clone,1,clove,,,,,,,,,,,,
clown,3,56,blond,2,clown,,,,,,,,,,,,
cluck,3,183,juicy,3,cluck,,,,,,,,,,,,
clued,4,120,inlet,10,bevel,1,clued,,,,,,,,,,
clump,4,183,juicy,5,chump,1,clump,,,,,,,,,,
clung,4,183,juicy,5,chump,1,clung,,,,,,,,,,
coach,3,5,loamy,1,coach,,,,,,,,,,,,
coast,3,3,boast,2,coast,,,,,,,,,,,,
cobra,2,1,cobra,,,,,,,,,,,,,,
cocoa,4,21,tonal,5,comma,1,cocoa,,,,,,,,,,
colon,4,87,pouty,12,conic,1,colon,,,,,,,,,,
color,4,26,north,4,rocky,1,color,,,,,,,,,,
comet,3,26,novel,5,comet,,,,,,,,,,,,
comfy,5,87,pouty,27,godly,6,boozy,1,comfy,,,,,,,,
comic,4,87,pouty,12,conic,1,comic,,,,,,,,,,
comma,3,21,tonal,5,comma,,,,,,,,,,,,
conch,4,87,pouty,12,conic,1,conch,,,,,,,,,,
condo,4,87,pouty,12,conic,1,condo,,,,,,,,,,
conic,3,87,pouty,12,conic,,,,,,,,,,,,
copse,4,11,louse,7,poise,1,copse,,,,,,,,,,
coral,3,8,moral,1,coral,,,,,,,,,,,,
corer,4,22,cower,2,cover,1,corer,,,,,,,,,,
corny,3,26,north,2,corny,,,,,,,,,,,,
couch,5,87,pouty,12,hound,4,cough,1,couch,,,,,,,,
cough,4,87,pouty,12,hound,4,cough,,,,,,,,,,
could,4,87,pouty,12,hound,2,could,,,,,,,,,,
count,4,87,pouty,6,mount,1,count,,,,,,,,,,
coupe,3,10,boule,2,coupe,,,,,,,,,,,,
court,3,6,dowry,2,court,,,,,,,,,,,,
coven,3,26,novel,2,coven,,,,,,,,,,,,
cover,3,22,cower,2,cover,,,,,,,,,,,,
covet,3,26,novel,2,covet,,,,,,,,,,,,
covey,4,26,novel,2,covet,1,covey,,,,,,,,,,
cower,2,22,cower,,,,,,,,,,,,,,
coyly,6,87,pouty,27,godly,7,folly,3,nobly,2,coyly,,,,,,
crack,6,40,train,11,crawl,3,cramp,2,crazy,1,crack,,,,,,
craft,3,40,train,4,craft,,,,,,,,,,,,
cramp,4,40,train,11,crawl,3,cramp,,,,,,,,,,
crane,3,19,grace,4,crane,,,,,,,,,,,,
crank,4,40,train,6,drank,3,crank,,,,,,,,,,
crash,3,7,brash,2,crash,,,,,,,,,,,,
crass,4,7,brash,3,grasp,1,crass,,,,,,,,,,
crate,4,19,grace,4,crane,3,crate,,,,,,,,,,
crave,5,19,grace,4,crane,3,crate,2,crave,,,,,,,,
crawl,3,40,train,11,crawl,,,,,,,,,,,,
craze,6,19,grace,4,crane,3,crate,2,crave,1,craze,,,,,,
crazy,5,40,train,11,crawl,3,cramp,2,crazy,,,,,,,,
creak,4,61,later,12,break,3,creak,,,,,,,,,,
cream,5,61,later,12,break,3,dream,1,cream,,,,,,,,
credo,3,13,order,1,credo,,,,,,,,,,,,
creed,3,117,cider,1,creed,,,,,,,,,,,,
